IP地址,端口,TLS,数据中心,地区,城市,网络延迟
103.200.112.108,80,false,HKG,Asia Pacific,Hong Kong,49 ms
193.134.211.208,10086,false,HKG,Asia Pacific,Hong Kong,49 ms
34.92.43.3,80,false,HKG,Asia Pacific,Hong Kong,49 ms
34.96.246.57,80,false,HKG,Asia Pacific,Hong Kong,50 ms
34.92.194.161,11180,false,HKG,Asia Pacific,Hong Kong,50 ms
34.96.194.203,80,false,HKG,Asia Pacific,Hong Kong,50 ms
20.205.14.82,50015,false,HKG,Asia Pacific,Hong Kong,50 ms
104.208.69.174,80,false,HKG,Asia Pacific,Hong Kong,51 ms
34.96.246.57,8080,false,HKG,Asia Pacific,Hong Kong,51 ms
34.96.246.57,2095,false,HKG,Asia Pacific,Hong Kong,51 ms
34.96.246.57,8880,false,HKG,Asia Pacific,Hong Kong,51 ms
34.96.246.57,2086,false,HKG,Asia Pacific,Hong Kong,51 ms
34.96.246.57,2082,false,HKG,Asia Pacific,Hong Kong,51 ms
43.155.73.229,25700,false,HKG,Asia Pacific,Hong Kong,51 ms
43.155.73.229,20085,false,HKG,Asia Pacific,Hong Kong,51 ms
34.96.189.113,80,false,HKG,Asia Pacific,Hong Kong,51 ms
43.155.73.229,30345,false,HKG,Asia Pacific,Hong Kong,51 ms
43.155.73.229,18080,false,HKG,Asia Pacific,Hong Kong,51 ms
155.137.168.208,44600,false,HKG,Asia Pacific,Hong Kong,52 ms
155.137.168.208,57300,false,HKG,Asia Pacific,Hong Kong,52 ms
43.155.73.229,12808,false,HKG,Asia Pacific,Hong Kong,52 ms
43.154.163.154,80,false,SJC,North America,San Jose,52 ms
207.226.152.62,80,false,HKG,Asia Pacific,Hong Kong,52 ms
43.155.73.229,33325,false,HKG,Asia Pacific,Hong Kong,52 ms
149.62.46.4,55560,false,HKG,Asia Pacific,Hong Kong,52 ms
43.129.81.205,443,false,HKG,Asia Pacific,Hong Kong,52 ms
129.226.67.99,8811,false,HKG,Asia Pacific,Hong Kong,52 ms
101.32.41.125,34472,false,TPE,Asia Pacific,Taipei,52 ms
43.129.16.202,3827,false,HKG,Asia Pacific,Hong Kong,52 ms
43.155.73.229,52034,false,HKG,Asia Pacific,Hong Kong,53 ms
103.210.21.249,81,false,HKG,Asia Pacific,Hong Kong,53 ms
16.163.29.239,8080,false,HKG,Asia Pacific,Hong Kong,53 ms
18.162.150.170,52095,false,HKG,Asia Pacific,Hong Kong,53 ms
156.251.226.106,1111,false,HKG,Asia Pacific,Hong Kong,53 ms
45.131.133.134,80,false,HKG,Asia Pacific,Hong Kong,53 ms
8.217.90.90,2086,false,HKG,Asia Pacific,Hong Kong,53 ms
43.255.53.27,80,false,HKG,Asia Pacific,Hong Kong,54 ms
8.218.105.223,2082,false,HKG,Asia Pacific,Hong Kong,54 ms
47.242.155.183,2095,false,HKG,Asia Pacific,Hong Kong,54 ms
154.38.118.215,80,false,HKG,Asia Pacific,Hong Kong,54 ms
8.218.181.189,2052,false,HKG,Asia Pacific,Hong Kong,54 ms
8.218.149.193,80,false,HKG,Asia Pacific,Hong Kong,54 ms
8.218.3.12,8080,false,HKG,Asia Pacific,Hong Kong,54 ms
8.212.41.98,8080,false,SJC,North America,San Jose,54 ms
47.242.155.183,8080,false,HKG,Asia Pacific,Hong Kong,54 ms
103.119.2.107,31630,false,HKG,Asia Pacific,Hong Kong,54 ms
47.57.245.232,80,false,SJC,North America,San Jose,54 ms
47.242.155.183,8880,false,HKG,Asia Pacific,Hong Kong,54 ms
8.218.3.12,2086,false,HKG,Asia Pacific,Hong Kong,55 ms
8.210.154.99,10067,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.149.193,8080,false,HKG,Asia Pacific,Hong Kong,55 ms
47.243.162.49,8080,false,HKG,Asia Pacific,Hong Kong,55 ms
47.242.155.183,80,false,HKG,Asia Pacific,Hong Kong,55 ms
8.217.90.90,2082,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.105.223,80,false,HKG,Asia Pacific,Hong Kong,55 ms
8.212.41.98,80,false,SIN,Asia Pacific,Singapore,55 ms
8.218.142.253,2052,false,HKG,Asia Pacific,Hong Kong,55 ms
18.162.150.170,50080,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.105.223,2052,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.127.249,2082,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.149.193,8880,false,HKG,Asia Pacific,Hong Kong,55 ms
8.217.114.205,80,false,HKG,Asia Pacific,Hong Kong,55 ms
8.217.90.90,2095,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.110.180,8880,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.136.25,2052,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.110.180,2086,false,HKG,Asia Pacific,Hong Kong,55 ms
8.217.90.90,2052,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.142.253,2095,false,HKG,Asia Pacific,Hong Kong,55 ms
8.217.84.78,80,false,HKG,Asia Pacific,Hong Kong,55 ms
47.242.162.56,9001,false,HKG,Asia Pacific,Hong Kong,55 ms
8.210.37.247,8002,false,HKG,Asia Pacific,Hong Kong,55 ms
47.242.174.27,8880,false,HKG,Asia Pacific,Hong Kong,55 ms
210.3.205.142,80,false,HKG,Asia Pacific,Hong Kong,55 ms
47.240.80.195,443,false,HKG,Asia Pacific,Hong Kong,55 ms
47.242.174.27,2095,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.136.25,2082,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.136.25,8880,false,HKG,Asia Pacific,Hong Kong,55 ms
8.210.250.120,2086,false,HKG,Asia Pacific,Hong Kong,55 ms
8.218.142.253,2086,false,HKG,Asia Pacific,Hong Kong,55 ms
61.92.171.170,25870,false,HKG,Asia Pacific,Hong Kong,56 ms
47.243.163.102,80,false,HKG,Asia Pacific,Hong Kong,56 ms
47.243.86.79,80,false,HKG,Asia Pacific,Hong Kong,56 ms
47.242.174.27,2086,false,HKG,Asia Pacific,Hong Kong,56 ms
47.57.14.1,80,false,HKG,Asia Pacific,Hong Kong,56 ms
47.57.14.118,80,false,SJC,North America,San Jose,56 ms
47.243.161.235,2095,false,HKG,Asia Pacific,Hong Kong,56 ms
47.242.155.183,2052,false,HKG,Asia Pacific,Hong Kong,56 ms
8.210.117.18,80,false,HKG,Asia Pacific,Hong Kong,56 ms
154.18.175.115,12586,false,HKG,Asia Pacific,Hong Kong,56 ms
47.242.174.27,2052,false,HKG,Asia Pacific,Hong Kong,56 ms
8.218.79.54,80,false,HKG,Asia Pacific,Hong Kong,56 ms
8.218.105.223,2095,false,HKG,Asia Pacific,Hong Kong,56 ms
8.218.110.180,2095,false,HKG,Asia Pacific,Hong Kong,56 ms
74.119.193.169,3388,false,HKG,Asia Pacific,Hong Kong,56 ms
47.243.162.49,2052,false,HKG,Asia Pacific,Hong Kong,56 ms
47.57.233.126,80,false,SJC,North America,San Jose,56 ms
8.218.3.12,2095,false,HKG,Asia Pacific,Hong Kong,56 ms
8.218.142.253,8880,false,HKG,Asia Pacific,Hong Kong,56 ms
